Two_yr_Recidivism,Number_of_Priors,score_factor,sex,Misdemeanor,race,age
0,2,0,male,1,African_American,older
1,3,1,male,0,African_American,older
0,0,0,male,0,African_American,adolescent
0,0,0,male,0,Hispanic,older
1,7,1,female,0,African_American,adult
1,0,0,male,1,African_American,adolescent
0,5,1,male,1,African_American,adult
1,1,1,male,0,African_American,adolescent
0,2,0,male,1,Hispanic,adult
1,21,1,male,0,African_American,adult
1,13,1,male,0,African_American,adolescent
1,23,1,male,0,African_American,adult
0,11,1,male,0,African_American,adult
0,1,0,male,0,African_American,adolescent
1,24,1,male,0,African_American,adult
0,1,1,female,0,African_American,adolescent
0,19,0,male,0,African_American,older
0,0,1,male,1,Other,adolescent
0,0,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
1,0,0,male,1,African_American,adult
1,0,1,male,0,African_American,adolescent
0,6,1,male,1,African_American,adult
1,0,1,male,1,African_American,adolescent
1,1,0,male,0,African_American,older
0,27,1,male,1,African_American,older
0,0,0,female,1,African_American,adult
0,1,0,male,1,African_American,older
0,0,0,male,0,African_American,adolescent
0,1,0,male,0,African_American,older
0,24,1,male,0,African_American,adult
1,13,1,male,0,African_American,adult
0,0,0,male,0,African_American,older
1,1,1,male,0,African_American,adult
0,1,0,male,1,African_American,older
0,8,0,female,0,African_American,older
0,0,1,male,0,African_American,adolescent
1,0,1,male,0,African_American,adolescent
1,2,1,female,0,African_American,adult
0,7,0,male,1,Hispanic,adult
1,3,0,male,1,Other,adult
0,2,1,male,1,African_American,adult
0,1,1,male,1,African_American,adult
1,14,1,male,0,African_American,older
0,0,0,male,1,African_American,adult
1,4,1,male,0,African_American,adolescent
1,2,1,female,0,African_American,adult
1,4,1,female,0,African_American,adult
0,2,1,male,0,African_American,adolescent
1,1,1,female,0,African_American,adult
1,1,1,male,0,African_American,adolescent
1,23,0,male,0,Other,older
0,0,0,female,1,African_American,adult
0,1,0,male,0,African_American,older
0,4,0,female,0,African_American,adult
0,3,1,male,0,African_American,adolescent
0,1,0,male,0,African_American,adult
0,3,0,male,0,Hispanic,adult
0,5,0,female,0,Hispanic,adult
1,3,1,male,1,African_American,adolescent
1,0,0,male,1,African_American,adult
0,3,1,female,0,African_American,adult
0,1,0,male,0,African_American,older
0,0,0,female,1,Hispanic,older
0,6,0,male,0,African_American,older
1,7,1,male,0,African_American,adult
0,10,1,male,0,African_American,adult
0,0,0,female,1,African_American,older
1,0,0,male,1,African_American,adult
0,9,1,male,0,African_American,adult
0,1,0,male,0,African_American,older
0,1,0,female,1,African_American,adult
0,0,0,male,0,African_American,older
0,6,0,male,0,African_American,adult
0,0,0,male,0,African_American,older
0,2,1,male,0,Hispanic,adolescent
1,27,1,male,0,African_American,adult
0,3,0,male,0,African_American,adult
1,7,1,male,1,African_American,adult
1,1,1,male,0,African_American,adult
0,8,0,male,0,African_American,adult
1,0,0,male,0,African_American,older
0,8,1,male,0,African_American,adult
0,4,0,male,0,African_American,older
1,15,1,male,0,African_American,older
1,7,1,male,0,African_American,adult
1,7,1,male,0,African_American,adult
0,0,0,male,1,African_American,adolescent
0,0,0,male,1,African_American,adult
0,0,0,male,1,Other,adult
0,1,1,male,0,Hispanic,adolescent
0,0,0,male,0,African_American,adult
1,1,0,male,1,African_American,adult
0,1,0,male,0,African_American,older
0,0,0,female,0,African_American,adult
0,4,0,male,1,African_American,older
0,3,1,male,1,African_American,adult
0,0,0,male,0,African_American,adolescent
0,1,0,male,0,African_American,older
0,2,0,male,0,African_American,adult
1,0,1,male,0,African_American,adult
0,0,1,male,0,African_American,adolescent
0,3,0,female,0,African_American,adult
1,7,1,male,0,African_American,adult
1,5,1,male,0,African_American,adult
0,1,0,male,0,African_American,adolescent
1,2,0,male,0,African_American,adult
0,2,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,adolescent
0,0,0,female,1,African_American,adult
0,0,1,male,0,African_American,adult
0,1,0,male,0,African_American,adult
0,1,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
0,0,1,female,0,African_American,adolescent
0,0,0,male,1,African_American,older
1,3,0,male,0,African_American,adult
0,2,0,female,1,African_American,adult
1,4,0,female,0,African_American,older
0,0,0,male,1,African_American,older
1,3,0,male,0,Hispanic,adult
0,2,0,male,0,African_American,adult
1,0,0,female,0,African_American,older
0,0,0,male,0,African_American,adolescent
0,3,1,male,0,African_American,older
1,0,0,male,0,African_American,adult
0,5,1,male,1,African_American,adult
1,0,0,male,0,African_American,adult
0,4,0,male,1,African_American,adult
0,1,1,male,1,Hispanic,older
1,5,1,male,0,African_American,adult
1,0,0,female,0,African_American,adult
1,1,0,male,0,African_American,adolescent
0,1,0,male,1,Hispanic,adult
1,24,1,male,0,Other,adult
0,12,1,male,0,Hispanic,adult
1,4,1,male,0,African_American,adult
1,6,0,male,0,African_American,older
0,0,0,male,1,Asian,adolescent
0,0,0,male,0,Hispanic,adult
1,23,1,male,0,African_American,older
1,13,1,male,0,African_American,adult
1,9,1,male,0,African_American,adult
0,0,0,male,1,Other,adult
0,0,1,male,0,African_American,adult
1,1,0,male,1,African_American,older
0,0,0,male,1,African_American,adult
0,7,1,male,1,African_American,adult
0,5,1,male,0,African_American,adult
0,2,0,female,0,Hispanic,older
0,0,1,male,1,African_American,older
1,5,1,male,0,African_American,adult
0,0,1,female,1,African_American,adult
0,0,0,male,0,African_American,adult
0,6,1,male,1,African_American,adult
0,2,1,male,0,African_American,adult
1,3,1,male,0,African_American,adolescent
0,2,0,male,1,African_American,adult
0,0,0,female,1,African_American,adult
1,8,1,male,0,African_American,adult
1,2,0,male,1,African_American,older
0,0,0,female,0,Other,adolescent
0,3,0,male,1,African_American,adult
1,2,1,male,1,African_American,adolescent
1,14,1,female,1,African_American,older
1,9,1,male,1,African_American,adult
0,9,1,male,1,African_American,adult
0,1,0,male,1,African_American,adult
0,0,0,male,1,African_American,older
1,19,1,male,1,African_American,adult
0,1,0,male,0,African_American,adult
1,0,1,female,0,African_American,adult
0,0,0,male,0,African_American,older
0,0,0,male,1,African_American,adult
0,5,1,male,1,African_American,adult
0,11,1,male,0,African_American,adult
1,4,0,male,1,African_American,adult
1,0,0,male,1,African_American,adult
0,0,1,male,1,African_American,adolescent
0,0,0,male,1,African_American,adult
1,10,0,male,1,African_American,adult
1,11,1,male,0,Hispanic,adolescent
0,0,0,male,0,African_American,adolescent
1,5,0,male,1,African_American,adult
0,1,1,male,0,African_American,adult
1,0,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,older
0,3,0,female,0,African_American,adult
1,9,1,male,0,Hispanic,older
1,1,0,male,0,African_American,adolescent
1,0,1,female,1,African_American,adolescent
0,1,0,male,0,Hispanic,adult
0,4,0,male,0,African_American,older
1,1,0,male,0,Asian,older
0,3,0,female,1,African_American,older
0,3,1,male,1,African_American,adolescent
1,0,0,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
1,3,1,male,0,Hispanic,adolescent
1,10,1,male,0,African_American,older
1,1,0,male,0,African_American,adult
1,0,1,male,1,African_American,adolescent
0,6,1,male,0,Other,adult
0,0,1,male,0,African_American,adult
1,19,1,male,0,African_American,adult
1,1,0,female,1,African_American,adult
0,6,1,male,0,African_American,adult
0,2,1,male,0,African_American,adult
1,11,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
1,1,1,male,0,African_American,adult
1,3,0,male,0,Other,adolescent
1,7,0,male,0,African_American,adult
1,2,0,male,0,African_American,adolescent
0,0,0,male,0,African_American,adult
0,0,0,male,1,Hispanic,adult
1,2,1,male,1,African_American,adolescent
1,0,1,male,0,African_American,adolescent
1,15,1,male,0,African_American,adult
1,2,0,male,1,African_American,adult
1,10,1,male,0,African_American,adult
0,0,0,male,1,African_American,adult
0,8,0,male,0,African_American,older
1,14,1,male,0,African_American,adult
1,13,1,male,0,African_American,adult
1,9,1,male,0,African_American,adult
0,0,0,male,1,African_American,adult
1,1,1,male,1,Hispanic,adolescent
0,1,0,male,0,African_American,older
0,4,1,male,0,African_American,adult
1,1,1,male,0,African_American,adult
0,0,0,female,1,African_American,adult
0,3,1,male,1,African_American,adolescent
1,6,1,male,0,African_American,adult
0,0,0,male,1,African_American,adult
1,3,1,male,0,African_American,adolescent
0,0,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
0,18,1,male,1,African_American,adult
0,1,1,male,0,African_American,adult
1,2,0,male,0,African_American,adult
0,3,0,male,1,African_American,adult
0,5,1,male,1,African_American,older
0,0,0,male,1,Other,adult
0,0,0,male,1,Hispanic,older
1,0,0,male,0,African_American,adolescent
1,7,1,male,0,African_American,adult
0,1,0,male,1,African_American,adult
0,0,0,male,0,African_American,adolescent
1,10,1,male,1,African_American,adult
0,0,0,male,0,African_American,adult
0,2,0,male,0,African_American,adult
1,8,1,male,0,African_American,adult
1,1,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
0,1,0,male,0,African_American,adult
1,0,1,male,0,African_American,adolescent
0,1,0,male,0,African_American,adult
0,6,1,female,1,African_American,adolescent
0,0,0,male,0,African_American,adult
0,1,0,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,0,0,male,0,African_American,adolescent
0,0,0,male,0,African_American,adolescent
0,1,0,male,1,African_American,adult
0,9,1,male,1,African_American,older
0,2,1,male,1,African_American,adult
1,0,1,male,0,African_American,adult
0,1,0,male,1,African_American,adult
0,0,0,male,0,African_American,adult
1,1,0,male,0,African_American,adolescent
0,3,1,male,1,Hispanic,adult
1,4,0,male,1,African_American,adult
1,3,0,male,1,African_American,older
0,0,0,male,0,Native_American,adult
0,0,0,male,0,African_American,older
1,8,1,male,0,African_American,older
0,5,1,male,1,African_American,adult
0,9,1,male,0,African_American,adult
1,5,1,male,0,African_American,older
0,0,0,female,0,African_American,adult
0,5,0,male,1,African_American,older
1,0,0,male,0,African_American,older
0,2,0,male,0,African_American,older
0,0,0,male,1,African_American,older
1,4,0,male,0,African_American,older
0,0,0,female,0,African_American,adult
1,2,1,male,0,Hispanic,adolescent
0,0,0,male,0,Other,adolescent
1,21,1,male,0,African_American,adult
0,0,0,female,1,Hispanic,adolescent
0,1,0,male,0,African_American,adult
1,8,1,male,0,African_American,adult
0,1,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,older
1,1,1,male,0,African_American,adolescent
1,1,0,male,1,African_American,older
1,0,0,male,1,African_American,older
0,2,1,male,0,African_American,older
1,11,1,female,0,African_American,adult
0,4,1,male,1,African_American,adult
1,14,1,male,0,African_American,adult
0,2,1,male,0,African_American,adult
1,5,0,male,0,African_American,older
1,0,1,male,0,African_American,adult
1,7,1,male,0,African_American,adult
0,8,0,male,0,African_American,adult
0,5,1,male,0,Other,adult
0,1,0,female,1,African_American,adult
0,4,0,male,0,African_American,adult
0,0,0,female,1,African_American,adult
0,1,1,male,0,Hispanic,adolescent
1,1,0,male,0,African_American,adult
0,1,0,male,0,African_American,older
1,0,0,male,1,African_American,adult
0,4,0,female,1,African_American,adult
0,4,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
0,2,0,male,1,African_American,adult
0,5,0,male,0,African_American,older
0,0,0,male,0,African_American,adult
1,4,1,male,0,African_American,adult
0,0,1,male,1,African_American,adult
0,1,0,male,1,African_American,adult
0,1,0,female,0,African_American,adult
1,13,1,male,1,African_American,adult
0,9,1,male,0,African_American,adult
0,1,0,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,1,0,female,1,African_American,adult
0,3,0,male,0,African_American,adult
0,7,0,female,1,African_American,older
0,0,1,male,0,African_American,adolescent
1,16,1,male,0,Hispanic,adult
1,2,1,male,0,African_American,adult
0,0,0,female,1,African_American,adolescent
0,1,1,male,0,African_American,adult
0,1,1,female,0,African_American,adolescent
1,13,1,male,1,African_American,adult
0,0,0,male,0,African_American,older
0,2,0,male,0,African_American,adult
0,0,0,female,1,Other,adult
0,0,0,male,1,African_American,older
1,0,0,male,1,African_American,adolescent
0,0,1,male,0,African_American,adult
1,2,0,male,0,Hispanic,adult
1,2,1,male,0,Asian,adult
1,1,1,male,0,African_American,adolescent
1,3,1,male,0,African_American,adolescent
0,2,0,male,1,African_American,adult
1,0,0,male,0,Hispanic,adolescent
0,2,0,male,1,African_American,older
0,1,0,male,0,African_American,older
1,8,1,male,0,Hispanic,adult
1,5,0,male,0,Hispanic,adult
1,1,0,male,1,African_American,adolescent
0,0,0,female,1,African_American,adult
0,2,1,male,1,African_American,older
1,11,1,male,0,African_American,adult
0,0,1,male,0,Hispanic,adult
1,7,1,male,0,African_American,adult
1,0,0,male,0,Hispanic,adult
0,7,1,female,0,African_American,adult
0,0,0,male,0,African_American,adult
0,3,1,male,0,Other,adult
1,4,0,male,0,Other,adult
0,4,0,male,0,African_American,older
0,0,0,male,0,African_American,adolescent
0,1,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
1,1,1,male,0,African_American,adolescent
0,0,0,male,0,Hispanic,adult
1,7,1,male,1,African_American,adult
0,0,0,male,1,African_American,adult
1,13,1,male,0,African_American,adult
1,2,1,male,0,African_American,adult
1,0,0,male,0,African_American,adolescent
1,4,1,male,0,African_American,adult
0,0,0,male,1,African_American,older
1,0,1,female,1,African_American,adult
1,0,1,male,0,Other,adolescent
1,1,0,male,1,African_American,older
0,4,1,male,0,African_American,adult
1,5,1,male,0,African_American,adolescent
1,0,1,male,0,African_American,adolescent
0,2,1,male,0,African_American,adult
1,1,0,male,0,African_American,adult
0,2,0,male,0,Other,older
0,0,0,male,0,African_American,adolescent
0,4,0,male,0,African_American,adult
0,0,0,male,1,African_American,adult
0,0,0,female,1,Other,adult
0,0,1,male,0,Other,adolescent
1,1,0,male,0,African_American,adult
0,0,1,female,0,African_American,adolescent
0,2,0,male,1,African_American,older
0,9,1,male,0,African_American,adult
0,0,0,male,1,Other,older
0,0,0,female,1,African_American,adult
0,3,1,male,0,African_American,adolescent
1,0,1,male,0,African_American,adult
1,3,0,female,1,Hispanic,adult
0,0,0,male,1,African_American,older
0,0,0,male,0,African_American,adult
0,0,0,male,1,Other,adult
1,9,1,male,0,African_American,older
1,0,1,male,0,African_American,adolescent
0,4,1,male,0,African_American,adult
1,1,1,male,0,African_American,adult
0,2,1,male,0,African_American,adult
0,4,0,female,0,African_American,older
0,0,0,female,0,African_American,older
1,12,1,male,0,African_American,adult
0,0,0,male,1,African_American,adult
0,5,1,female,0,African_American,adult
0,2,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
0,1,1,male,0,African_American,adult
1,11,0,male,0,African_American,older
0,2,0,male,0,African_American,older
0,4,0,male,1,African_American,older
1,15,1,female,0,Native_American,older
1,21,1,male,0,African_American,older
0,1,0,female,0,African_American,older
0,0,0,female,0,African_American,older
0,0,0,male,1,African_American,adult
1,5,1,male,1,African_American,adult
1,1,1,male,0,African_American,adolescent
1,26,1,male,0,African_American,adult
1,1,1,male,0,African_American,adolescent
0,0,1,male,0,African_American,adolescent
1,4,1,male,0,African_American,adult
1,3,1,female,0,African_American,adult
1,3,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
1,11,1,male,0,African_American,adult
1,5,1,male,0,African_American,older
1,4,0,male,1,Other,adult
1,18,0,male,0,African_American,adult
0,15,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
1,8,0,male,1,African_American,adult
0,3,0,male,0,Hispanic,adult
0,0,0,female,0,African_American,adult
1,0,1,female,1,Other,adolescent
0,0,0,male,1,Hispanic,adult
0,6,1,male,1,African_American,adult
1,3,0,male,0,African_American,adult
0,0,0,female,1,African_American,adult
1,2,1,female,0,African_American,adult
0,3,0,male,0,African_American,adult
0,1,0,male,1,African_American,adult
1,5,1,male,0,African_American,adult
0,1,0,male,1,Hispanic,adult
0,1,0,male,1,African_American,older
0,2,0,male,0,African_American,adult
0,0,0,male,1,African_American,older
1,4,1,female,1,African_American,adult
0,9,1,male,0,African_American,older
0,0,0,female,0,African_American,adult
0,0,0,male,0,African_American,adolescent
1,0,0,male,0,African_American,adolescent
1,4,1,male,1,African_American,adult
0,0,0,male,1,African_American,older
0,4,1,male,0,African_American,adult
1,0,0,male,1,African_American,adult
1,3,1,male,0,African_American,adult
0,1,0,male,0,African_American,older
1,3,0,male,0,African_American,adult
1,0,0,female,1,Hispanic,adult
1,14,1,male,0,African_American,adult
0,0,1,male,1,African_American,adolescent
0,0,0,male,0,African_American,older
1,37,1,male,1,African_American,adult
0,2,1,male,0,African_American,adolescent
1,0,0,male,1,African_American,adult
1,2,1,male,0,African_American,adult
0,2,0,female,0,African_American,adult
1,7,0,female,0,African_American,adult
1,0,0,male,1,African_American,adult
0,1,0,male,0,African_American,adult
1,3,0,female,0,African_American,adult
1,1,0,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,1,0,male,0,African_American,adult
1,15,1,male,0,African_American,adult
1,6,1,male,0,African_American,older
1,17,1,male,0,African_American,adolescent
1,0,0,male,0,Hispanic,adult
1,1,1,male,0,African_American,adolescent
1,1,0,female,0,Hispanic,adult
0,0,0,male,0,African_American,adolescent
1,9,1,male,0,Hispanic,older
0,0,0,female,0,Other,adult
0,1,0,female,0,African_American,older
1,1,0,male,1,African_American,adult
1,10,1,male,0,African_American,older
0,1,1,male,0,African_American,adolescent
1,6,1,male,0,African_American,adult
1,1,0,male,1,African_American,older
0,0,0,male,1,African_American,older
1,9,1,female,1,African_American,adult
0,0,0,male,1,African_American,older
1,10,1,male,0,African_American,adult
1,3,1,male,0,African_American,adolescent
1,0,0,male,0,Other,adult
0,0,1,male,1,African_American,older
1,3,1,male,0,African_American,adolescent
0,13,1,male,0,African_American,adult
1,3,0,male,1,African_American,older
1,5,0,male,0,African_American,adult
0,2,0,male,0,African_American,older
1,0,1,male,1,African_American,adolescent
0,1,0,male,1,African_American,older
1,0,0,female,0,African_American,adolescent
0,0,1,male,1,African_American,adolescent
0,1,0,male,0,African_American,older
0,0,0,female,0,African_American,adult
0,0,0,male,1,African_American,adult
1,0,0,male,0,African_American,adult
1,2,1,male,0,African_American,adult
0,3,0,male,0,African_American,adult
1,3,0,male,1,African_American,adult
1,7,1,male,0,African_American,adult
0,1,0,male,0,African_American,adult
1,0,1,male,0,African_American,adult
0,2,0,female,0,African_American,adult
1,6,1,male,0,Hispanic,adolescent
1,21,1,male,0,African_American,adult
0,0,0,female,1,African_American,adult
1,0,1,male,0,African_American,adolescent
0,0,0,female,1,African_American,adult
1,25,1,male,0,African_American,adult
0,0,1,female,0,African_American,adolescent
1,0,1,male,1,African_American,adult
0,0,0,male,0,African_American,adult
1,0,1,male,0,African_American,older
1,0,0,male,0,African_American,adult
0,1,0,male,1,African_American,adult
1,12,1,female,0,African_American,adult
0,3,0,male,0,African_American,adult
1,15,0,male,0,African_American,older
1,9,0,male,0,African_American,adult
0,1,0,female,0,African_American,adult
0,1,1,male,1,African_American,adolescent
0,1,0,male,0,African_American,older
0,1,0,male,1,African_American,adult
1,3,1,male,0,African_American,adolescent
1,1,0,male,1,African_American,adult
0,1,0,male,0,African_American,adult
1,1,1,male,0,African_American,adolescent
0,2,0,male,0,Other,older
1,1,0,male,0,African_American,adolescent
0,5,1,male,0,African_American,adult
1,6,1,male,1,African_American,adult
0,1,0,male,1,African_American,older
1,2,0,female,1,African_American,adult
0,0,0,male,1,African_American,adult
1,22,1,male,0,African_American,older
1,4,0,male,0,African_American,adult
0,2,0,male,0,African_American,adult
0,1,1,female,0,African_American,adolescent
0,0,0,male,1,Hispanic,adult
0,3,1,male,0,African_American,adolescent
0,2,0,male,0,African_American,adult
1,7,0,male,0,African_American,adult
1,14,1,female,0,African_American,adult
0,2,1,male,1,African_American,adult
1,6,1,male,0,African_American,adolescent
1,1,0,male,0,Hispanic,adult
0,2,0,male,1,African_American,adult
0,0,0,male,0,Hispanic,older
0,0,1,female,0,African_American,adolescent
0,0,0,male,0,African_American,adolescent
1,5,1,male,0,African_American,adult
0,4,0,male,1,African_American,adult
1,1,0,male,0,Other,adult
1,1,0,male,0,Hispanic,older
1,1,1,male,0,African_American,adolescent
0,1,0,male,0,African_American,older
0,0,0,female,0,African_American,adolescent
0,0,0,male,0,Hispanic,adult
0,2,0,female,0,African_American,adult
1,8,1,male,0,African_American,adult
0,2,0,male,0,African_American,adult
1,0,0,male,0,African_American,adult
0,1,0,male,0,African_American,adolescent
0,3,1,male,0,African_American,adult
0,0,0,male,0,African_American,adolescent
1,0,1,male,0,African_American,adolescent
1,4,0,female,0,African_American,adult
1,1,0,male,0,African_American,adolescent
0,0,0,male,0,Hispanic,adolescent
0,3,0,male,0,African_American,older
1,7,1,male,0,African_American,adult
1,1,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
0,3,0,male,0,African_American,older
0,0,0,male,0,Hispanic,adult
0,0,0,male,0,African_American,older
1,17,1,male,0,African_American,older
1,8,1,male,0,African_American,adult
0,1,1,male,0,African_American,adolescent
1,0,0,male,1,African_American,adult
1,1,1,male,1,African_American,adult
0,1,0,male,0,African_American,adult
1,2,0,male,0,African_American,adolescent
0,4,0,male,0,African_American,older
0,4,0,male,0,African_American,adult
1,0,0,female,1,Hispanic,adult
0,0,1,male,1,African_American,adult
1,1,0,male,1,African_American,older
0,2,0,male,0,Hispanic,adult
0,1,0,male,0,African_American,older
1,1,0,male,1,African_American,older
0,0,0,male,0,African_American,older
1,3,1,male,1,African_American,adolescent
0,1,0,male,0,African_American,adult
0,1,0,male,0,Hispanic,adult
1,10,1,female,1,African_American,adult
1,10,1,male,1,African_American,adult
1,6,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,10,1,male,0,African_American,older
1,1,1,male,0,African_American,adult
1,10,1,male,0,African_American,older
0,4,0,male,1,African_American,adult
1,10,1,male,0,African_American,adult
0,0,0,female,1,African_American,older
0,3,1,male,1,African_American,adult
1,1,1,male,0,African_American,adolescent
0,0,1,male,0,African_American,older
0,16,1,male,1,African_American,adult
1,4,1,male,0,African_American,adolescent
1,0,1,male,0,African_American,adolescent
0,0,0,male,0,African_American,older
0,0,0,female,1,African_American,adult
0,0,0,male,0,African_American,adult
0,7,1,female,0,African_American,older
0,0,0,male,1,African_American,adult
0,0,1,male,1,African_American,adult
1,3,0,male,0,African_American,adult
1,1,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
1,11,1,male,0,African_American,adult
0,0,0,male,0,African_American,adolescent
1,10,1,male,0,African_American,older
1,4,1,male,0,African_American,adult
1,1,0,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,1,0,male,0,African_American,older
0,0,1,male,1,African_American,adolescent
0,0,0,female,1,African_American,adult
0,0,0,male,1,Other,older
0,2,0,male,0,Other,older
1,16,1,male,0,African_American,older
0,4,1,male,0,African_American,adult
0,8,1,male,0,African_American,adult
0,0,0,female,1,African_American,adult
0,1,1,male,1,African_American,adult
0,0,0,male,1,African_American,adult
0,0,0,male,0,Other,adult
0,0,0,female,0,African_American,adult
1,9,1,male,0,African_American,adult
0,1,1,male,0,African_American,older
0,1,0,male,0,African_American,adult
1,0,0,female,1,African_American,older
0,8,1,female,0,African_American,older
1,5,1,male,0,African_American,adult
1,13,0,male,0,African_American,older
1,0,1,male,1,Other,adolescent
1,8,0,male,0,African_American,adult
0,0,0,male,1,African_American,adolescent
0,1,1,male,0,African_American,adolescent
0,0,0,male,1,African_American,older
0,0,0,male,0,African_American,older
0,1,0,male,0,African_American,adult
1,1,0,male,0,African_American,adolescent
1,5,1,male,0,African_American,older
0,0,0,male,1,African_American,older
0,0,0,female,0,Hispanic,adult
0,1,0,female,0,African_American,adult
0,0,0,female,0,African_American,adult
1,1,1,male,0,African_American,adolescent
1,0,0,male,0,African_American,adult
1,1,1,male,0,African_American,adult
0,1,0,male,1,African_American,older
0,2,1,male,0,African_American,adolescent
1,33,1,male,0,African_American,older
0,1,0,female,0,African_American,older
1,1,1,male,1,African_American,adolescent
1,4,1,male,0,African_American,adolescent
0,0,0,female,0,Hispanic,adult
0,0,0,male,1,Other,older
0,0,0,male,0,African_American,adult
1,0,0,male,0,Hispanic,adolescent
0,1,0,male,1,African_American,adult
0,4,0,male,0,African_American,adult
0,0,0,female,0,African_American,adult
0,14,1,male,0,African_American,adult
0,1,0,male,1,African_American,older
0,15,1,male,0,African_American,adult
0,1,0,male,0,African_American,adolescent
0,1,0,male,1,African_American,older
1,2,1,male,0,African_American,adult
0,1,1,male,1,African_American,adult
1,1,1,male,0,African_American,adult
1,18,1,male,1,African_American,adult
1,1,1,male,0,African_American,adolescent
1,1,0,male,0,African_American,adult
0,3,0,male,1,African_American,older
0,14,1,female,0,African_American,adult
1,7,1,male,0,African_American,adult
1,20,1,male,0,African_American,adult
1,0,1,male,0,African_American,adult
1,0,0,male,1,African_American,adolescent
0,1,0,female,1,African_American,adult
0,0,0,male,1,African_American,older
1,5,1,male,0,African_American,adult
1,3,1,male,0,African_American,adolescent
0,0,1,male,1,Hispanic,adolescent
0,0,0,male,1,African_American,older
0,0,0,female,1,African_American,adult
1,1,0,male,1,African_American,adult
0,1,1,male,1,African_American,adult
0,2,0,male,1,African_American,adolescent
1,16,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,1,0,male,1,African_American,adolescent
1,1,1,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,0,0,male,0,African_American,adult
0,1,0,male,0,African_American,adult
1,1,0,male,0,African_American,adult
1,0,1,male,0,African_American,older
0,7,1,male,0,African_American,adult
0,0,0,male,1,African_American,adult
1,8,1,male,0,African_American,adult
0,0,0,male,1,African_American,older
1,0,0,male,1,African_American,older
0,1,0,male,1,African_American,adult
1,0,0,male,0,African_American,adult
1,1,1,female,1,African_American,adult
1,9,0,male,1,African_American,adult
1,2,0,male,0,African_American,older
1,1,1,male,0,African_American,adult
0,2,0,male,0,African_American,adult
1,5,1,male,1,Other,adolescent
1,4,1,female,1,African_American,adolescent
0,1,0,male,1,African_American,adolescent
0,3,0,male,1,Other,adult
0,2,0,female,0,African_American,older
1,2,1,male,1,African_American,adult
0,0,0,female,1,African_American,adult
1,0,1,male,0,African_American,adolescent
0,0,0,female,1,African_American,older
0,0,0,male,0,African_American,older
0,1,0,male,1,African_American,older
1,3,0,male,1,African_American,older
0,5,1,male,0,African_American,adult
0,1,0,male,0,African_American,older
0,2,0,male,0,Hispanic,adult
1,2,0,female,1,Hispanic,older
1,2,1,male,0,African_American,adolescent
1,5,1,male,0,African_American,adult
0,4,1,male,1,African_American,adult
1,1,0,male,0,African_American,adolescent
0,7,0,female,0,African_American,adult
0,0,0,female,0,African_American,adult
1,3,1,female,0,African_American,adult
1,2,0,male,0,Other,adult
0,0,0,male,1,African_American,older
0,0,0,male,1,African_American,adult
0,0,0,male,1,African_American,adult
0,0,0,male,1,African_American,older
0,0,1,male,1,African_American,adolescent
0,22,1,male,1,African_American,older
0,0,0,male,1,African_American,adult
1,9,1,male,0,African_American,adult
0,1,0,male,0,African_American,adolescent
0,0,0,male,1,African_American,adult
1,0,1,male,0,African_American,older
1,10,1,male,0,African_American,adult
0,0,0,male,0,African_American,adolescent
1,0,0,female,0,African_American,older
1,2,0,male,1,African_American,older
0,11,0,male,0,Other,adult
1,0,1,female,0,African_American,adolescent
1,6,1,male,1,Hispanic,adolescent
1,0,0,male,0,African_American,adult
1,11,1,male,0,African_American,adult
0,5,0,male,1,African_American,adult
0,0,0,female,1,African_American,older
1,13,1,male,0,African_American,adult
0,0,0,male,0,Hispanic,older
1,13,1,male,0,African_American,adult
1,5,1,male,1,African_American,adult
0,8,1,male,0,Hispanic,older
0,0,0,male,0,African_American,adolescent
1,8,0,male,0,African_American,adult
1,3,1,male,0,Asian,older
0,0,1,male,1,Other,adult
0,13,1,female,0,African_American,adult
1,0,0,male,0,African_American,adolescent
1,0,0,male,0,African_American,adolescent
0,2,0,male,1,African_American,older
1,5,1,female,0,African_American,adult
0,7,1,male,0,African_American,older
